PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PNdZpKWyew8j6waMEAsbs5mZEpp1fLLSgP,21632.19484155,21632.19484155,21632.19484155,21632.19484155,21632.19484155,21632.19484155
PSTBmZS4hRm6dvMK4vk4Hrz5NbJuiwXssr,21020.79267330,21249.75267330,21504.63267330,21718.47267330,22012.23267330,22203.39267330
P8zydjXbmxygL6APLE5YTrNHKLG5X4A5bW,21510.52526935,21510.52526935,21510.52526935,21510.52526935,21510.52526935,21510.52526935
PVkzhaUzniwvPWYEQwaYEG5huyhNUCmN5x,21488.23994054,21488.23994054,21488.23994054,21488.23994054,21488.23994054,21488.23994054
PEazimQPEUQhLbTCy4s7PdEhp5HoGdzoyf,20722.48084161,20722.48084161,20722.48084161,20722.48084161,20722.48084161,20722.48084161
PNgkgCbroRn4cqhWgDjYAtZT9UtUQwtAPF,20714.46343632,20714.46343632,20714.46343632,20714.46343632,20714.46343632,20714.46343632
PQq3cbvjox6fpGDYyyVzh7Rmixn6Co9ZZR,20671.14902739,20671.14902739,20671.14902739,20671.14902739,20671.14902739,20671.14902739
PHZog8vk9c8kPRMP8Sm8EynNeXYTmja796,20647.17399164,20647.17399164,20647.17399164,20647.17399164,20647.17399164,20647.17399164
PBoWLeZLbgEPemLwKRzQJBh5mgzvreSgU9,20463.19984315,20463.19984315,20463.19984315,20463.19984315,20463.19984315,20463.19984315
PNEeTwgj7cxz9FBhqHW4r49GV9mAAJ7bns,19651.74030405,19892.58030405,20143.14030405,20399.10030405,20676.66030405,20878.62030405
P9YvKG2YsPKYDuHM7VnpwEr2U75gh85NGi,0.00000000,0.00000000,0.00000000,40017.28000000,40031.32000000,40043.20000000
PUShyC5h3L4ga1LyhxCyV3dE2fnYuHLmTW,20010.15970377,20010.15970377,20010.15970377,20010.15970377,20010.15970377,20010.15970377
